algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
UCS Esc 1,24,14757,111,,0.1670362949371338,True
UCS Esc 2,24,12059,,149,0.18204140663146973,True
Agent_Random,24,1000,0,0,0.010003328323364258,False
A* Esc 1,24,11413,111,,0.14103126525878906,True
A* Esc 2,24,11392,,149,0.14203119277954102,True
BFS,25,7459,63,114,0.024005889892578125,True
DFS,25,6683,0,0,0.024005889892578125,False
Limited Search,25,155,0,0,0,False
UCS Esc 1,25,7472,63,,0.07401680946350098,True
UCS Esc 2,25,9377,,114,0.1290283203125,True
Agent_Random,25,1000,0,0,0.00800180435180664,False
A* Esc 1,25,4289,63,,0.04801130294799805,True
A* Esc 2,25,4303,,114,0.04801034927368164,True
BFS,26,10122,61,108,0.032007455825805664,True
DFS,26,8910,0,0,0.032007455825805664,False
Limited Search,26,190,0,0,0,False
UCS Esc 1,26,10209,61,,0.13303017616271973,True
UCS Esc 2,26,8978,,108,0.13103008270263672,True
Agent_Random,26,1000,0,0,0.008001327514648438,False
A* Esc 1,26,4456,61,,0.057012081146240234,True
A* Esc 2,26,4469,,108,0.0580134391784668,True
BFS,27,16617,135,341,0.056012868881225586,True
DFS,27,3073,0,0,0.056012868881225586,False
Limited Search,27,179,0,0,0,False
UCS Esc 1,27,16625,135,,0.18604135513305664,True
UCS Esc 2,27,16580,,341,0.18004083633422852,True
Agent_Random,27,1000,0,0,0.008002042770385742,False
A* Esc 1,27,16202,135,,0.21104741096496582,True
A* Esc 2,27,16229,,341,0.21104741096496582,True
BFS,28,6658,68,209,0.022003889083862305,True
DFS,28,6104,0,0,0.022003889083862305,False
Limited Search,28,138,0,0,0,False
UCS Esc 1,28,6746,68,,0.06201362609863281,True
UCS Esc 2,28,5789,,209,0.048010826110839844,True
Agent_Random,28,1000,0,0,0.00800180435180664,False
A* Esc 1,28,3767,68,,0.036008358001708984,True
A* Esc 2,28,3900,,209,0.03600764274597168,True
BFS,29,4334,55,163,0.014002799987792969,True
DFS,29,3301,0,0,0.014002799987792969,False
Limited Search,29,115,0,0,0,False
UCS Esc 1,29,4276,55,,0.03600788116455078,True
UCS Esc 2,29,8606,,163,0.0870201587677002,True
Agent_Random,29,1000,0,0,0.008001565933227539,False
A* Esc 1,29,2635,55,,0.022006511688232422,True
A* Esc 2,29,2799,,163,0.02500462532043457,True
BFS,30,7010,53,178,0.026006460189819336,True
DFS,30,5856,0,0,0.026006460189819336,False
Limited Search,30,161,0,0,0,False
UCS Esc 1,30,6911,53,,0.10002303123474121,True
UCS Esc 2,30,9049,,178,0.10502338409423828,True
Agent_Random,30,1000,0,0,0.009001970291137695,False
A* Esc 1,30,3377,53,,0.03600811958312988,True
A* Esc 2,30,3624,,178,0.03900909423828125,True
